,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y47,9.800602552220444e-14,0.6405979178518113,0.3563897355212994,0.4585030709082042,0.4463589156829668,9.231431942917943e-05
y48,0.4651450070716311,0.4955384126825798,0.17114697926306854,0.6461304723055918,0.15719241621689375,0.04930188618778616
y49,0.6052658232232337,0.9155090914350836,0.21809183116293518,0.2822900400111523,0.03431497468719097,0.00011984167379506841
y50,0.3325228983641293,0.3117664700961923,0.9511178921113679,0.5696430973609387,0.19916494134933616,0.2321481772963655
y51,6.342319564866943e-17,0.6068957852960541,0.2691141561369048,0.7886349105837015,0.0010282965387000875,0.20224533848061133
y52,0.23241800715973082,0.6019566640153461,0.6327066372583472,0.576294138058396,0.32191677946896635,0.052992197598731215
y53,3.450240576634868e-88,0.7123100631514034,0.0034189203641714697,0.6481335887401292,1.0679732886880472e-05,0.0009093347378290696
y54,0.9453345453678758,0.7630139032347547,0.01546240642145971,0.20864224826309308,0.8003928441620836,0.0003694002806500481
y55,0.2592240774692083,0.7602372242607596,0.9057400239930147,0.3562764641299041,0.6443178772963436,0.9999762372205748
y56,0.0023669009322813497,0.10868952359318182,0.7063409214678186,0.7887812091328646,0.015759653408230715,3.322067890751034e-05
y57,4.940100493033909e-13,0.2205402587845039,0.2971343276374384,0.1512654112443572,7.322912721012049e-07,0.31984638205817917
y58,7.324357673698719e-90,0.28657905913881243,0.009640543764892595,0.5052394102282465,2.449839614618644e-21,0.9419370433429152
y59,0.06553380123025826,0.29163926295708675,0.11353294083644636,0.13776646998399028,2.2746453739310443e-12,0.0003493525765122811
y60,0.10089274219493898,0.7852126509267907,0.8152038170772363,0.15851960647040453,1.9596865416012394e-07,0.00023315033452536547
y61,2.1516246020520708e-09,0.8383152908549916,0.11182481784015726,0.4157799364889784,0.029767577809499016,0.9999984101781301
y62,0.8320937849841044,0.9811962197379159,2.3914449500175137e-05,0.305432033429727,2.5213080192858104e-22,1.2370131587786949e-05
y63,0.7803241498475897,0.9821712144880133,0.06722165817111883,0.04136185698698549,5.241061453351998e-08,0.004846506829235404
y64,0.5574614797800066,0.7835082214454456,0.1452718157472826,0.3051876517214396,0.2597214218232833,0.033307274800075753
y65,1.5906556439033333e-39,0.9870847419918031,0.9746183994115826,0.7142244302086036,0.8950079172248341,8.133905434339975e-05
y66,0.14925093882452947,0.2591779049280769,0.48187575108431324,0.8663184499999362,0.06790325688737259,1.678804210480169e-05
y67,0.6381752439695932,0.5376449230551235,0.5163294091995256,0.29948940791045653,0.9138203099581073,0.009111826369953965
