1
1
1
	P_Value
y633	0.33527446899999996
y634	0.850209723
y635	0.137089881
y636	0.245196501
y637	0.023110379
y638	0.544054606
y639	0.071125491
y640	0.059640875999999995
y641	0.054999004000000004
y642	0.760840414
y643	0.726482782
y644	0.035332395
y645	0.202761128
y646	0.654406363
y647	0.12654189300000002
y648	0.656733386
y649	0.858048059
y650	0.41429675
y651	0.6411463589999999
y652	0.04460835900000001
y653	0.014654321000000001
y654	0.168907963
y655	0.158172898
y656	0.15847082199999998
y657	0.203503259
y658	0.7387892859999999
y659	0.076523365
y660	0.11785473199999999
y661	0.03203016
y662	0.389622819
y663	0.061234722000000005
y664	0.055976165999999994
y665	0.587843693
y666	0.5256582470000001
y667	0.42327587200000005
y668	0.780481331
y669	0.771413763
y670	0.0033952640000000003
y671	0.41336788700000004
y672	0.133535199
y673	0.068351756
y674	0.36414423799999995
y675	0.880779704
y676	0.010904146000000002
y677	0.018304267
y678	0.091308655
y679	0.27812199600000004
y680	0.090268241
y681	0.652492666
y682	0.204946961
y683	0.069562758
y684	0.97160329
y685	0.148134778
y686	0.43036269200000005
y687	0.605913574
y688	0.70307905
y689	0.096206844
y690	0.012967589
y691	0.215829684
y692	0.2133193
y693	0.37740609700000005
y694	0.5694924960000001
y695	0.819413334
y696	0.48254695799999997
y697	0.421377803
y698	0.18428093
y699	0.002695482
y700	0.012015844
y701	0.12862527699999998
y702	0.41820369700000004
y703	0.216287103
y704	0.471339124
y705	0.349115175
y706	0.054964957
y707	0.11955619999999999
y708	0.947966077
y709	0.32610365399999997
y710	0.084471795
y711	0.37827394799999997
y712	0.643207231
y713	0.060370845
y714	0.086084566
y715	0.324554856
y716	0.060100152000000004
y717	0.913511945
y718	0.058354617000000004
y719	0.38308340399999996
y720	0.045394471
y721	0.820655502
y722	0.249994338
y723	0.167184842
y724	0.13626907800000002
y725	0.88391224
y726	0.049670900999999996
y727	0.8457234459999999
y728	0.09512143699999999
y729	0.139269625
y730	0.081552834
y731	0.152332216
y732	0.750860121
y733	0.08373167200000001
y734	0.013746513
y735	0.129530874
y736	0.28267238
y737	0.5196550870000001
y738	0.453256155
y739	0.067264419
y740	0.375521359
y741	0.97699995
y742	0.326208608
y743	0.06427722400000001
y744	0.046400232
y745	0.5746106089999999
y746	0.303532621
y747	0.986341818
y748	0.967013413
y749	0.06544332900000001
y750	0.052548425
y751	0.34624601899999996
y752	0.225060163
y753	0.160158411
y754	0.049516494
y755	0.385515289
y756	0.6301387820000001
y757	0.788443728
y758	0.694189407
y759	0.594074565
y760	0.8329364659999999
y761	0.563918635
y762	0.314426211
y763	0.34210554299999996
y764	0.137920821
y765	0.6806075229999999
y766	0.040619283
y767	0.077330859
y768	0.405367125
y769	0.42652479200000004
y770	0.368899201
y771	0.560707434
y772	0.33417415
y773	0.6134705810000001
y774	0.010957301000000001
y775	0.496876925
y776	0.5633277729999999
y777	0.01843494
y778	0.661532233
y779	0.521165936
y780	0.00157091
y781	0.204091567
y782	0.360991305
y783	0.362004494
y784	0.025009636000000002
y785	0.656164083
y786	0.043771847
y787	0.174397214
y788	0.008127773000000001
y789	0.020797452
y790	0.028794646
y791	0.28653187399999996
y792	0.02118928
y793	0.009693841
y794	0.134877332
y795	0.141527779
y796	0.669176495
y797	0.22605259800000002
y798	0.035510539
y799	0.04546543
y800	0.19489758
y801	0.824066615
y802	0.06033254
y803	0.172405371
y804	0.014146633999999998
y805	0.7998872090000001
y806	0.301974244
y807	0.5262032179999999
y808	0.38645029799999997
y809	0.05461255
y810	0.8647203609999999
y811	0.884964337
y812	0.066639513
y813	0.891241609
y814	0.446075845
y815	0.087338691
y816	0.031938471
y817	0.19265444199999998
y818	0.06100656
y819	0.17841852800000002
y820	0.123174954
y821	0.374349935
y822	0.88543835
y823	0.040127282
y824	0.258187922
y825	0.088292615
y826	0.627769762
y827	0.066725368
y828	0.006783133
y829	0.035829042
y830	0.934142299
y831	0.121118072
y832	0.18612531
y833	0.02160337
y834	0.925014077
y835	0.299563656
y836	0.11918360800000001
y837	0.265623671
y838	0.156198322
y839	0.033022351
y840	0.786234522
y841	0.390487487
y842	0.323992952
y843	0.694937631
y844	0.200900936
y845	0.412826736
y846	0.625330642
y847	0.334543504
y848	0.586066764
y849	0.005549124
y850	0.158587433
y851	0.92341924
y852	0.479730276
y853	0.039271405
y854	0.016753393000000002
y855	0.229875128
y856	0.102057475
y857	0.148481409
y858	0.44398071100000003
y859	0.757702233
y860	0.206486148
y861	0.585201513
y862	0.135024303
y863	0.630066759
y864	0.756894782
y865	0.11176908599999999
y866	0.028794007000000003
y867	0.631087455
y868	0.37798771
y869	0.660118138
y870	0.9293139570000001
y871	0.037204385
y872	0.572307979
y873	0.34141310700000005
y874	0.7144698420000001
y875	0.02884858
y876	0.940233413
y877	0.078484891
y878	0.235934808
y879	0.148000562
y880	0.853823545
y881	0.160815034
y882	0.065456489
y883	0.20087865100000002
y884	0.5197633620000001
y885	0.18063072800000002
y886	0.008785516
y887	0.533757293
y888	0.117632236
y889	0.932510175
y890	0.471514124
y891	0.179637412
y892	0.143373115
y893	0.528189537
y894	0.05408841
y895	0.657073865
y896	0.15052653300000002
y897	0.311930775
y898	0.492457174
y899	0.19200561100000002
y900	0.031600262000000004
y901	0.771888048
y902	0.026786919
y903	0.921639447
y904	0.13237175699999998
y905	0.008244935
y906	0.042639302000000004
y907	0.58751133
y908	0.530346341
y909	0.07907913400000001
y910	0.785144948
y911	0.12552906
y912	0.007169525
y913	0.04365187400000001
y914	0.601500009
y915	0.055687043
y916	0.122313801
y917	0.033707917000000004
